"Year","State","Percent of bachelor's degree or higher","Percentage of cig user","Percentage of E-cig user","E-cig existence","E-cig ratio"
2013,"Missouri",27,23.8,NA,FALSE,NA
2013,"Montana",29,22.66,NA,FALSE,NA
2013,"Nebraska",29.4,20.2227272727273,NA,FALSE,NA
2013,"Nevada",22.5,21.2772727272727,NA,FALSE,NA
2013,"New Hampshire",34.6,18.6578947368421,NA,FALSE,NA
2013,"New Jersey",36.6,16.2954545454545,NA,FALSE,NA
2013,"New Mexico",26.4,19.1363636363636,NA,FALSE,NA
2013,"New York",34.1,17.5590909090909,NA,FALSE,NA
2013,"North Carolina",28.4,20.2318181818182,NA,FALSE,NA
2013,"North Dakota",27.1,23.915,NA,FALSE,NA
2013,"Ohio",26.1,25.4090909090909,NA,FALSE,NA
2013,"Oklahoma",23.8,24.7454545454545,NA,FALSE,NA
2013,"Oregon",30.7,18.705,NA,FALSE,NA
2013,"Pennsylvania",28.7,23.2363636363636,NA,FALSE,NA
2013,"Puerto Rico",24.2,10.7222222222222,NA,FALSE,NA
2013,"Rhode Island",32.4,17.8142857142857,NA,FALSE,NA
2013,"South Carolina",26.1,22.9,NA,FALSE,NA
2013,"South Dakota",26.6,22.205,NA,FALSE,NA
2013,"Tennessee",24.8,25.3263157894737,NA,FALSE,NA
2013,"Texas",27.5,16.4363636363636,NA,FALSE,NA
2013,"Utah",31.3,11.7714285714286,NA,FALSE,NA
2013,"Vermont",35.7,18.85,NA,FALSE,NA
2013,"Virginia",36.1,20.3363636363636,NA,FALSE,NA
2013,"Washington",32.7,17.7,NA,FALSE,NA
2013,"West Virginia",18.9,28.855,NA,FALSE,NA
2013,"Wisconsin",27.7,21.3714285714286,NA,FALSE,NA
2013,"Wyoming",26.6,23.085,NA,FALSE,NA
2014,"Alabama",23.5,22.4047619047619,NA,FALSE,NA
2014,"Alaska",28,21.1,NA,FALSE,NA
2014,"Arizona",27.6,16.7590909090909,NA,FALSE,NA
2014,"Arkansas",21.4,25.5380952380952,NA,FALSE,NA
2014,"California",31.7,13.8318181818182,NA,FALSE,NA
2014,"Colorado",38.3,17.4136363636364,NA,FALSE,NA
2014,"Connecticut",38,16.8380952380952,NA,FALSE,NA
2014,"Delaware",30.6,19.9761904761905,NA,FALSE,NA
2014,"District of Columbia",55,17.7190476190476,NA,FALSE,NA
2014,"Florida",27.3,18.2380952380952,NA,FALSE,NA
2014,"Georgia",29.1,17.552380952381,NA,FALSE,NA
2014,"Hawaii",31,15.7285714285714,NA,FALSE,NA
2014,"Idaho",25,18.46,NA,FALSE,NA
2014,"Illinois",32.8,16.852380952381,NA,FALSE,NA
2014,"Indiana",24.7,23.9363636363636,NA,FALSE,NA
2014,"Iowa",27.7,19.9285714285714,NA,FALSE,NA
2014,"Kansas",31.5,19.8954545454545,NA,FALSE,NA
2014,"Kentucky",22.2,28.152380952381,NA,FALSE,NA
2014,"Louisiana",22.9,25.1333333333333,NA,FALSE,NA
2014,"Maine",29.4,23.48,NA,FALSE,NA
2014,"Maryland",38.2,15.6636363636364,NA,FALSE,NA
2014,"Massachusetts",41.2,16.35,NA,FALSE,NA
2014,"Michigan",27.4,24.8590909090909,NA,FALSE,NA
2014,"Minnesota",34.3,18.4590909090909,NA,FALSE,NA
2014,"Mississippi",21.1,23.8789473684211,NA,FALSE,NA
2014,"Missouri",27.5,21.2,NA,FALSE,NA
2014,"Montana",29.3,23.79,NA,FALSE,NA
2014,"Nebraska",29.5,19.2227272727273,NA,FALSE,NA
2014,"Nevada",23.1,18.2954545454545,NA,FALSE,NA
2014,"New Hampshire",35,19.595,NA,FALSE,NA
2014,"New Jersey",37.4,15.9727272727273,NA,FALSE,NA
2014,"New Mexico",26.4,19.0909090909091,NA,FALSE,NA
2014,"New York",34.5,14.6857142857143,NA,FALSE,NA
2014,"North Carolina",28.7,19.4772727272727,NA,FALSE,NA
2014,"North Dakota",27.4,24.695,NA,FALSE,NA
2014,"Ohio",26.6,22.8272727272727,NA,FALSE,NA
2014,"Oklahoma",24.2,21.6,NA,FALSE,NA
2014,"Oregon",30.8,18.265,NA,FALSE,NA
2014,"Pennsylvania",29,20.8952380952381,NA,FALSE,NA
2014,"Puerto Rico",24.4,11.1666666666667,NA,FALSE,NA
2014,"Rhode Island",30.4,17.1714285714286,NA,FALSE,NA
2014,"South Carolina",26.3,23.1136363636364,NA,FALSE,NA
2014,"South Dakota",27.8,20.95,NA,FALSE,NA
2014,"Tennessee",25.3,25.575,NA,FALSE,NA
2014,"Texas",27.8,14.7272727272727,NA,FALSE,NA
2014,"Utah",31.1,11.7272727272727,NA,FALSE,NA
2014,"Vermont",34.9,18.9611111111111,NA,FALSE,NA
2014,"Virginia",36.7,21.2863636363636,NA,FALSE,NA
2014,"Washington",33.1,17.7681818181818,NA,FALSE,NA
2014,"West Virginia",19.2,27.845,NA,FALSE,NA
2014,"Wisconsin",28.4,20.0727272727273,NA,FALSE,NA
2014,"Wyoming",26.6,21.97,NA,FALSE,NA
2015,"Alabama",NA,23.0333333333333,NA,FALSE,NA
2015,"Alaska",NA,21.7590909090909,NA,FALSE,NA
2015,"Arizona",NA,14.2454545454545,NA,FALSE,NA
2015,"Arkansas",NA,26.4,NA,FALSE,NA
2015,"California",NA,12.2,NA,FALSE,NA
2015,"Colorado",NA,17.5545454545455,NA,FALSE,NA
2015,"Connecticut",NA,14.5333333333333,NA,FALSE,NA
2015,"Delaware",NA,17.3285714285714,NA,FALSE,NA
2015,"District of Columbia",NA,17.0285714285714,NA,FALSE,NA
2015,"Florida",NA,16.6909090909091,NA,FALSE,NA
2015,"Georgia",NA,17.0571428571429,NA,FALSE,NA
2015,"Hawaii",NA,15.425,NA,FALSE,NA
2015,"Idaho",NA,15.96,NA,FALSE,NA
2015,"Illinois",NA,15.4142857142857,NA,FALSE,NA
2015,"Indiana",NA,20.8714285714286,NA,FALSE,NA
2015,"Iowa",NA,19.525,NA,FALSE,NA
2015,"Kansas",NA,19.1227272727273,NA,FALSE,NA
2015,"Kentucky",NA,27.2727272727273,NA,FALSE,NA
2015,"Louisiana",NA,22.79,NA,FALSE,NA
2015,"Maine",NA,23.195,NA,FALSE,NA
2015,"Maryland",NA,15.7954545454545,NA,FALSE,NA
2015,"Massachusetts",NA,14.7095238095238,NA,FALSE,NA
2015,"Michigan",NA,23.3954545454545,NA,FALSE,NA
2015,"Minnesota",NA,18.8954545454545,NA,FALSE,NA
2015,"Mississippi",NA,23.0157894736842,NA,FALSE,NA
2015,"Missouri",NA,24.2727272727273,NA,FALSE,NA
2015,"Montana",NA,22.29,NA,FALSE,NA
2015,"Nebraska",NA,18.7136363636364,NA,FALSE,NA
2015,"Nevada",NA,17.8333333333333,NA,FALSE,NA
2015,"New Hampshire",NA,17.205,NA,FALSE,NA
2015,"New Jersey",NA,13.4090909090909,NA,FALSE,NA
2015,"New Mexico",NA,18.7619047619048,NA,FALSE,NA
2015,"New York",NA,16.2863636363636,NA,FALSE,NA
2015,"North Carolina",NA,19.2681818181818,NA,FALSE,NA
2015,"North Dakota",NA,21.3736842105263,NA,FALSE,NA
2015,"Ohio",NA,24,NA,FALSE,NA
2015,"Oklahoma",NA,22.6863636363636,NA,FALSE,NA
2015,"Oregon",NA,19.1045454545455,NA,FALSE,NA
2015,"Pennsylvania",NA,19.3428571428571,NA,FALSE,NA
2015,"Puerto Rico",NA,10.6222222222222,NA,FALSE,NA
2015,"Rhode Island",NA,16.0619047619048,NA,FALSE,NA
2015,"South Carolina",NA,20.3181818181818,NA,FALSE,NA
2015,"South Dakota",NA,23.08,NA,FALSE,NA
2015,"Tennessee",NA,23.3380952380952,NA,FALSE,NA
2015,"Texas",NA,16.1909090909091,NA,FALSE,NA
2015,"Utah",NA,10.7090909090909,NA,FALSE,NA
2015,"Vermont",NA,18.62,NA,FALSE,NA
2015,"Virginia",NA,17.7909090909091,NA,FALSE,NA
2015,"Washington",NA,17.0454545454545,NA,FALSE,NA
2015,"West Virginia",NA,26.9894736842105,NA,FALSE,NA
2015,"Wisconsin",NA,20.2363636363636,NA,FALSE,NA
2015,"Wyoming",NA,20.815,NA,FALSE,NA
2016,"Alabama",NA,22.9714285714286,5.17619047619048,TRUE,0.183894434105904
2016,"Alaska",NA,21.947619047619,4.73809523809524,TRUE,0.177551748750892
2016,"Arizona",NA,15.4045454545455,5.12727272727273,TRUE,0.249723267655524
2016,"Arkansas",NA,25.2047619047619,5.42857142857143,TRUE,0.177211254469143
2016,"California",NA,11.3863636363636,2.90909090909091,TRUE,0.203497615262321
2016,"Colorado",NA,17.2136363636364,5.45,TRUE,0.24047332531087
2016,"Connecticut",NA,14.5714285714286,4.17142857142857,TRUE,0.222560975609756
2016,"Delaware",NA,17.5952380952381,3.7952380952381,TRUE,0.177426536064114
2016,"District of Columbia",NA,15.647619047619,2.23333333333333,TRUE,0.124900133155792
2016,"Florida",NA,16.1363636363636,4.6,TRUE,0.221832529592284
2016,"Georgia",NA,18.2904761904762,4.6047619047619,TRUE,0.2011231281198
2016,"Hawaii",NA,13.9809523809524,4.4,TRUE,0.239378238341969
2016,"Idaho",NA,16.495,4.62,TRUE,0.218801799668482
2016,"Illinois",NA,15.6666666666667,4.05714285714286,TRUE,0.205697730564944
2016,"Indiana",NA,22.5772727272727,5.06363636363636,TRUE,0.183193553691827
2016,"Iowa",NA,17.8904761904762,4.21904761904762,TRUE,0.190824897695456
2016,"Kansas",NA,19.1136363636364,5.1,TRUE,0.210625117326826
2016,"Kentucky",NA,25.5363636363636,5.77727272727273,TRUE,0.184497024241544
2016,"Louisiana",NA,23.7952380952381,6.09047619047619,TRUE,0.203792224346718
2016,"Maine",NA,23.545,4.6,TRUE,0.163439332030556
2016,"Maryland",NA,15.4863636363636,3.32727272727273,TRUE,0.176854312635902
2016,"Massachusetts",NA,14.0095238095238,4.51428571428571,TRUE,0.243701799485861
